CC1201;01/01/2016;3900
CC1201;01/01/2016;-120,1
CC1201;02/01/2016;-154,9
CC1201;03/01/2016;-189,7
CC1201;04/01/2016;-224,5
CC1201;05/01/2016;-259,3
CC1201;06/01/2016;-294,1
CC1201;07/01/2016;-328,9
CC1201;08/01/2016;-363,7
CC1201;09/01/2016;-398,5
CC1202;01/01/2016;4500
CC1202;01/01/2016;-433,3
CC1202;02/01/2016;-468,1
CC1202;03/01/2016;-502,9
CC1202;04/01/2016;-20,8
CC1202;05/01/2016;-55,6
CC1202;06/01/2016;-90,4
CC1202;07/01/2016;-125,2
CC1202;08/01/2016;-160
CC1202;09/01/2016;-194,8
CC1202;10/01/2016;-229,6
CC1202;11/01/2016;-264,4
CC1215;11/01/2016;2500
CC1215;11/01/2016;-299,2
CC1215;12/01/2016;-334
CC1215;13/01/2016;-368,8
CC1215;14/01/2016;-5
CC1215;15/01/2016;-39,8
CC1215;16/01/2016;-74,6
CC1215;17/01/2016;-109,4
CC1215;18/01/2016;-7
CC1215;19/01/2016;-41,8
CC1215;20/01/2016;-76,6
CC1215;21/01/2016;-111,4
CC1215;22/01/2016;-146,2
CC1215;23/01/2016;-181
CC1215;24/01/2016;-215,8
CC1236;01/01/2016;4200
CC1236;01/01/2016;-230
CC1236;01/01/2016;-264,8
CC1236;01/01/2016;-299,6
CC1236;01/01/2016;-12
CC1236;02/01/2016;-46,8
CC1236;03/01/2016;-81,6
CC1236;04/01/2016;-116,4
CC1236;05/01/2016;-151,2
CC1236;05/01/2016;-186
CC1236;05/01/2016;-220,8
CC1236;17/01/2016;-255,6
CC1236;18/01/2016;-290,4
CC1236;19/01/2016;-325,2
CC1236;20/01/2016;-360
CC1236;21/01/2016;-394,8
